file,method,spearman_corr,precision_at_20pct
1089-134686-0000.flac,A1,0.3767902034152709,0.2833333333333333
1089-134686-0000.flac,A2,0.519217505160324,0.55
1089-134686-0000.flac,B1,0.05777470965738606,0.2833333333333333
1089-134686-0000.flac,A4,-0.15154417395122546,0.08333333333333333
1089-134686-0000.flac,composite,0.3045686556706539,0.26666666666666666
1188-133604-0000.flac,A1,0.32924863805270815,0.16666666666666666
1188-133604-0000.flac,A2,0.7068338454793314,0.6166666666666667
1188-133604-0000.flac,B1,0.0,0.0
1188-133604-0000.flac,A4,-0.273413067055522,0.06666666666666667
1188-133604-0000.flac,composite,0.323308107312875,0.3
121-121726-0000.flac,A1,0.3599413568240977,0.18333333333333332
121-121726-0000.flac,A2,0.32497235031823274,0.4
121-121726-0000.flac,B1,0.23808286212645943,0.36666666666666664
121-121726-0000.flac,A4,-0.31706824898164276,0.05
121-121726-0000.flac,composite,0.3324252560686525,0.3
1221-135766-0000.flac,A1,0.003035343240033046,0.11666666666666667
1221-135766-0000.flac,A2,0.012237377655658419,0.31666666666666665
1221-135766-0000.flac,B1,-0.08182227675044373,0.25
1221-135766-0000.flac,A4,-0.18556358936589326,0.05
1221-135766-0000.flac,composite,-0.07126485945089318,0.16666666666666666
1284-1180-0000.flac,A1,0.3746876304398145,0.4666666666666667
1284-1180-0000.flac,A2,0.09552052617245202,0.4166666666666667
1284-1180-0000.flac,B1,0.09584590561658843,0.55
1284-1180-0000.flac,A4,-0.25748153253577966,0.15
1284-1180-0000.flac,composite,0.1403787414545426,0.2833333333333333
1320-122612-0000.flac,A1,0.1720989886443767,0.23333333333333334
1320-122612-0000.flac,A2,0.13954302765502408,0.31666666666666665
1320-122612-0000.flac,B1,0.06248718799111946,0.016666666666666666
1320-122612-0000.flac,A4,-0.3290320005905065,0.1
1320-122612-0000.flac,composite,-0.03249342592919861,0.16666666666666666
1580-141083-0000.flac,A1,0.15258027519940412,0.11666666666666667
1580-141083-0000.flac,A2,-0.13992999704104728,0.2833333333333333
1580-141083-0000.flac,B1,0.08916675834219243,0.016666666666666666
1580-141083-0000.flac,A4,-0.45150947828029403,0.05
1580-141083-0000.flac,composite,-0.2104931199830462,0.1
1995-1826-0000.flac,A1,0.33998010849075,0.21666666666666667
1995-1826-0000.flac,A2,-0.04503380734468521,0.36666666666666664
1995-1826-0000.flac,B1,0.2139501154463997,0.25
1995-1826-0000.flac,A4,-0.33159182956710265,0.15
1995-1826-0000.flac,composite,-0.003972603714878628,0.21666666666666667
2094-142345-0000.flac,A1,0.3419000771361944,0.4666666666666667
2094-142345-0000.flac,A2,-0.1989378052561225,0.26666666666666666
2094-142345-0000.flac,B1,0.0,0.0
2094-142345-0000.flac,A4,-0.30975929040201183,0.18333333333333332
2094-142345-0000.flac,composite,0.00034473834061303374,0.25
2300-131720-0000.flac,A1,0.20902694992716164,0.25
2300-131720-0000.flac,A2,0.2937630757680732,0.4166666666666667
2300-131720-0000.flac,B1,0.0,0.26666666666666666
2300-131720-0000.flac,A4,-0.08728548070519676,0.23333333333333334
2300-131720-0000.flac,composite,0.21104410003250557,0.36666666666666664
237-126133-0000.flac,A1,0.3083967739000293,0.18333333333333332
237-126133-0000.flac,A2,0.17012514820024402,0.4666666666666667
237-126133-0000.flac,B1,0.09918548420950093,0.06666666666666667
237-126133-0000.flac,A4,-0.280833054176531,0.18333333333333332
237-126133-0000.flac,composite,0.09512511062896359,0.2833333333333333
260-123286-0000.flac,A1,0.7423573492432499,0.3333333333333333
260-123286-0000.flac,A2,-0.06875605175290614,0.25
260-123286-0000.flac,B1,0.6548830628397114,0.3333333333333333
260-123286-0000.flac,A4,0.03954349416566209,0.11666666666666667
260-123286-0000.flac,composite,0.6558751722130843,0.2833333333333333
