network_type,target_plr,threshold_method,threshold_value,duplication_delay,n_frames,n_duplicated,duplication_rate,base_bitrate_kbps,total_bitrate_kbps,bandwidth_overhead_pct,raw_loss_rate,n_recovered,recovery_rate,n_concealed,post_recovery_loss_rate,PESQ,PESQ_WB,PESQ_NB,STOI,ESTOI,SI-SDR,concealment_rate,n_lost_frames,mean_burst_len,max_burst_len,n_bursts,codec,file,seed
random_loss,0.0,adaptive_mean_std,dynamic,1,300,55,0.18333333333333332,3.0,3.55,18.333333333333332,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.0,adaptive_mean_std,dynamic,1,300,55,0.18333333333333332,3.0,3.55,18.333333333333332,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.0,adaptive_mean_std,dynamic,2,300,55,0.18333333333333332,3.0,3.55,18.333333333333332,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646195,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.0,adaptive_mean_std,dynamic,2,300,55,0.18333333333333332,3.0,3.55,18.333333333333332,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.0,adaptive_quantile_70,dynamic,1,300,110,0.36666666666666664,3.0,4.1,36.666666666666664,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.0,adaptive_quantile_70,dynamic,1,300,110,0.36666666666666664,3.0,4.1,36.666666666666664,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.0,adaptive_quantile_70,dynamic,2,300,110,0.36666666666666664,3.0,4.1,36.666666666666664,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.0,adaptive_quantile_70,dynamic,2,300,110,0.36666666666666664,3.0,4.1,36.666666666666664,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.0,all_duplicate,all_duplicate,1,300,300,1.0,3.0,6.0,100.0,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646195,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.0,all_duplicate,all_duplicate,1,300,300,1.0,3.0,6.0,100.0,0.0,0,0.0,0,0.0,3.234401226043701,3.234401226043701,3.6661603450775146,0.9497512405963333,0.8711391689646194,5.915631008687495,0.0,0,0.0,0,0,HILCodec_3kbps,1089-134686-0000.flac,123
