network_type,target_plr,protection_method,concealment,budget_frac,n_frames,n_protected,raw_loss_rate,post_repair_loss_rate,PESQ,PESQ_WB,PESQ_NB,STOI,ESTOI,SI-SDR,concealment_rate,n_lost_frames,mean_burst_len,max_burst_len,n_bursts,codec,file,seed
random_loss,0.01,none,zero_fill,0.1,300,0,0.0033333333333332993,0.0033333333333332993,2.9323558807373047,2.9323558807373047,3.578172445297241,0.9486101401713664,0.8693742406142526,5.786441049059537,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,none,neighbor_copy,0.1,300,0,0.0033333333333332993,0.0033333333333332993,2.9943759441375732,2.9943759441375732,3.5854315757751465,0.9492358083856686,0.8696911224007776,5.721502158326384,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,none,zero_fill,0.1,300,0,0.013333333333333308,0.013333333333333308,2.7195286750793457,2.7195286750793457,3.3365330696105957,0.9424954191175696,0.854641237366454,5.121502557157081,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,none,neighbor_copy,0.1,300,0,0.013333333333333308,0.013333333333333308,3.0037448406219482,3.0037448406219482,3.543487310409546,0.9479177248872033,0.8679781737280844,5.524485937794975,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,random,zero_fill,0.1,300,30,0.0033333333333332993,0.0033333333333332993,3.2262699604034424,3.2262699604034424,3.664578914642334,0.9497512405963333,0.8711391689646194,5.915617843786025,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,random,neighbor_copy,0.1,300,30,0.0033333333333332993,0.0033333333333332993,3.2317392826080322,3.2317392826080322,3.666046619415283,0.9497512405963333,0.8711391689646194,5.915608563043397,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,random,zero_fill,0.1,300,30,0.01666666666666672,0.01666666666666672,2.8731627464294434,2.8731627464294434,3.338658332824707,0.9468218980129743,0.8676876632271904,4.957720311767972,0.016666666666666666,5,1.0,1,5,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,random,neighbor_copy,0.1,300,30,0.01666666666666672,0.01666666666666672,2.723128080368042,2.723128080368042,3.3458375930786133,0.9460942701780797,0.8642965038166756,4.6759220938835355,0.016666666666666666,5,1.0,1,5,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,heuristic,zero_fill,0.1,300,30,0.0033333333333332993,0.0033333333333332993,2.9323558807373047,2.9323558807373047,3.578172445297241,0.9486101401713664,0.8693742406142527,5.786441049059537,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,heuristic,neighbor_copy,0.1,300,30,0.0033333333333332993,0.0033333333333332993,2.9943759441375732,2.9943759441375732,3.5854315757751465,0.9492358083856686,0.8696911224007775,5.721502158326384,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,heuristic,zero_fill,0.1,300,30,0.013333333333333308,0.013333333333333308,2.7195286750793457,2.7195286750793457,3.3365330696105957,0.9424954191175696,0.8546412373664541,5.121502557157081,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,heuristic,neighbor_copy,0.1,300,30,0.013333333333333308,0.013333333333333308,3.0037448406219482,3.0037448406219482,3.543487310409546,0.9479177248872033,0.8679781737280844,5.524485937794975,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,importance_aware,zero_fill,0.1,300,30,0.0033333333333332993,0.0033333333333332993,2.9323558807373047,2.9323558807373047,3.578172445297241,0.9486101401713664,0.8693742406142526,5.786441049059537,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,importance_aware,neighbor_copy,0.1,300,30,0.0033333333333332993,0.0033333333333332993,2.9943759441375732,2.9943759441375732,3.5854315757751465,0.9492358083856686,0.8696911224007774,5.721502158326384,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,importance_aware,zero_fill,0.1,300,30,0.013333333333333308,0.013333333333333308,2.7195286750793457,2.7195286750793457,3.3365330696105957,0.9424954191175696,0.8546412373664541,5.121502557157081,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,importance_aware,neighbor_copy,0.1,300,30,0.013333333333333308,0.013333333333333308,3.0037448406219482,3.0037448406219482,3.543487310409546,0.9479177248872033,0.8679781737280844,5.524485937794975,0.013333333333333334,4,1.0,1,4,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,importance_selective,zero_fill,0.1,300,30,0.0033333333333332993,0.0033333333333332993,2.865025281906128,2.865025281906128,3.542482614517212,0.9469753516515558,0.864776919501212,5.118037406757424,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,importance_selective,neighbor_copy,0.1,300,30,0.0033333333333332993,0.0033333333333332993,3.0468640327453613,3.0468640327453613,3.6123363971710205,0.9493916322857198,0.869534989373219,5.507098672686793,0.0033333333333333335,1,1.0,1,1,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.01,importance_selective,zero_fill,0.1,300,30,0.010000000000000009,0.010000000000000009,2.8988654613494873,2.8988654613494873,3.4142301082611084,0.9428396682021666,0.8578280825381623,4.8734132033914825,0.01,3,1.0,1,3,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.01,importance_selective,neighbor_copy,0.1,300,30,0.010000000000000009,0.010000000000000009,2.6770107746124268,2.6770107746124268,3.5599522590637207,0.9472565704895892,0.8654775247867086,4.9813365422643425,0.01,3,1.0,1,3,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.03,none,zero_fill,0.1,300,0,0.026666666666666616,0.026666666666666616,2.6274566650390625,2.6274566650390625,3.285914659500122,0.9423344100977961,0.8459223867946765,5.467324538651159,0.02666666666666667,8,1.0,1,8,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,none,neighbor_copy,0.1,300,0,0.026666666666666616,0.026666666666666616,2.9264636039733887,2.9264636039733887,3.509246826171875,0.9455606785403301,0.8677854704408159,5.447891214155597,0.02666666666666667,8,1.0,1,8,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,none,zero_fill,0.1,300,0,0.033333333333333326,0.033333333333333326,2.5143730640411377,2.5143730640411377,3.1687376499176025,0.9423469445198007,0.8534219782181841,4.870348013811837,0.03333333333333333,10,1.0,1,10,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.03,none,neighbor_copy,0.1,300,0,0.033333333333333326,0.033333333333333326,2.8162448406219482,2.8162448406219482,3.439819097518921,0.9475884653931816,0.8671227559042236,4.953375691271599,0.03333333333333333,10,1.0,1,10,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.03,random,zero_fill,0.1,300,30,0.026666666666666616,0.020000000000000018,2.6602847576141357,2.6602847576141357,3.4170329570770264,0.9469027277943658,0.8627505188898467,5.061916823309389,0.02,6,1.0,1,6,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,random,neighbor_copy,0.1,300,30,0.026666666666666616,0.020000000000000018,2.9302756786346436,2.9302756786346436,3.5788841247558594,0.9483263881082746,0.8635021507594066,5.428760837506719,0.02,6,1.0,1,6,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,random,zero_fill,0.1,300,30,0.033333333333333326,0.033333333333333326,2.722639799118042,2.722639799118042,3.1692843437194824,0.9435429325870017,0.8651298242301129,4.850379185972178,0.03333333333333333,10,1.0,1,10,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.03,random,neighbor_copy,0.1,300,30,0.033333333333333326,0.033333333333333326,2.56172776222229,2.56172776222229,3.2521421909332275,0.9405938109824746,0.8604292369564243,4.540286591232509,0.03333333333333333,10,1.0,1,10,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.03,heuristic,zero_fill,0.1,300,30,0.026666666666666616,0.026666666666666616,2.6274566650390625,2.6274566650390625,3.285914659500122,0.9423344100977961,0.8459223867946765,5.467324538651159,0.02666666666666667,8,1.0,1,8,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,heuristic,neighbor_copy,0.1,300,30,0.026666666666666616,0.026666666666666616,2.9264636039733887,2.9264636039733887,3.509246826171875,0.9455606785403301,0.8677854704408159,5.447891214155597,0.02666666666666667,8,1.0,1,8,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,heuristic,zero_fill,0.1,300,30,0.033333333333333326,0.033333333333333326,2.5143730640411377,2.5143730640411377,3.1687376499176025,0.9423469445198007,0.8534219782181841,4.870348013811837,0.03333333333333333,10,1.0,1,10,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.03,heuristic,neighbor_copy,0.1,300,30,0.033333333333333326,0.033333333333333326,2.8162448406219482,2.8162448406219482,3.439819097518921,0.9475884653931816,0.8671227559042236,4.953375691271599,0.03333333333333333,10,1.0,1,10,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.03,importance_aware,zero_fill,0.1,300,30,0.026666666666666616,0.026666666666666616,2.6274566650390625,2.6274566650390625,3.285914659500122,0.9423344100977961,0.8459223867946765,5.467324538651159,0.02666666666666667,8,1.0,1,8,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,importance_aware,neighbor_copy,0.1,300,30,0.026666666666666616,0.026666666666666616,2.9264636039733887,2.9264636039733887,3.509246826171875,0.9455606785403301,0.8677854704408159,5.447891214155597,0.02666666666666667,8,1.0,1,8,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,importance_aware,zero_fill,0.1,300,30,0.033333333333333326,0.033333333333333326,2.5143730640411377,2.5143730640411377,3.1687376499176025,0.9423469445198007,0.8534219782181841,4.870348013811837,0.03333333333333333,10,1.0,1,10,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.03,importance_aware,neighbor_copy,0.1,300,30,0.033333333333333326,0.033333333333333326,2.8162448406219482,2.8162448406219482,3.439819097518921,0.9475884653931816,0.8671227559042236,4.953375691271599,0.03333333333333333,10,1.0,1,10,HILCodec_3kbps,1089-134686-0000.flac,123
random_loss,0.03,importance_selective,zero_fill,0.1,300,30,0.030000000000000027,0.030000000000000027,2.2727274894714355,2.2727274894714355,3.0425498485565186,0.933163520213047,0.8407581398972318,3.969837342311149,0.03,9,1.0,1,9,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,importance_selective,neighbor_copy,0.1,300,30,0.030000000000000027,0.030000000000000027,2.696526050567627,2.696526050567627,3.355581045150757,0.9374648367533309,0.8563436254386118,4.097895821897183,0.03,9,1.0,1,9,HILCodec_3kbps,1089-134686-0000.flac,42
random_loss,0.03,importance_selective,zero_fill,0.1,300,30,0.036666666666666625,0.036666666666666625,2.403677463531494,2.403677463531494,3.0236222743988037,0.9331129769469242,0.844743453478619,4.177635715742724,0.03666666666666667,11,1.1,2,10,HILCodec_3kbps,1089-134686-0000.flac,123
